OBJECTID,presence,DECID,MARSH,SSW,STUDY,ANTHRO,PROB_1,PREDICTED,DEV_RESID
166,1,1,0.208121821,0,79.80953979,0,0.7441965,1,0.768700418
167,1,0,0.243654817,0,78.02671051,0.593908608,0.742547365,1,0.771580999
168,1,0,0.17766498,0.010152284,130.7422638,0.04568528,0.92162634,1,0.404018338
169,1,0.106598988,0.060913704,0,132.2603149,0.370558381,0.747012663,1,0.763771094
170,1,0,0,0,185.5496521,0.385786802,0.73275094,1,0.788605627
171,1,0.401015222,0,0.187817261,80.66220856,0.421319783,0.418298713,0,1.320272304
172,1,0.837563455,0.218274117,0,72.20656586,0,0.798955974,1,0.669999158
173,1,0,0.680203021,0,81.21155548,0.741116762,0.823009141,1,0.62416019
174,1,0,0.365482241,0,82.03838348,0.888324857,0.603199038,1,1.00549297
175,1,0.873096466,0.279187828,0,41.79626083,0.126903549,0.752049975,1,0.754920527
176,1,0,0.010152284,0,119.1781464,0.09137056,0.883391245,1,0.49797006
177,1,0,0.015228426,0.076142132,664.3942871,0.928934038,0.16503717,0,1.898201549
178,1,0,0.187817261,0,66.49622345,0.477157354,0.787902159,1,0.690480065
179,1,0,0.081218272,0,90.96178436,0.208121821,0.865854459,1,0.536727949
180,1,0,0.02538071,0,105.9577408,0.05076142,0.900316976,1,0.458275861
181,1,0,0.157360405,0,60.08653641,0.274111688,0.866871259,1,0.534536816
182,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
183,1,0.370558381,0.071065992,0,186.0919189,0.629441619,0.446135894,0,1.270536641
184,1,0,0.147208124,0,80.48036194,0.624365509,0.680866293,1,0.876800241
185,1,0,0.35025382,0,89.5574646,0.786802053,0.664432781,1,0.904236211
186,1,0.213197976,0.060913704,0,131.0858307,0.309644669,0.747727881,1,0.762517099
187,1,0.807106614,0.147208124,0,83.11999512,0.005076142,0.777080835,1,0.710226583
188,1,0,0.035532996,0.197969541,592.7628784,0.802030444,0.176651883,0,1.862028057
189,1,0,0.35025382,0,89.5574646,0.786802053,0.664432781,1,0.904236211
190,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
191,1,0.106598988,0.502538085,0,63.65719604,0.304568529,0.911136361,1,0.431422554
192,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
193,1,0.258883238,0.157360405,0,113.9136124,0.17766498,0.837563444,1,0.595412906
194,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
195,1,0,0.507614195,0,93.00402069,0.756345153,0.751250896,1,0.756327444
196,1,0.532994926,0,0,70.6003418,0,0.808476313,1,0.652079592
197,1,0.035532996,0.279187828,0.223350257,316.2089539,0.436548233,0.587588888,1,1.031239784
198,1,0,0.741116762,0,63.99415207,0.116751269,0.973089245,1,0.233578594
199,1,0.822335005,0.17766498,0,69.66816711,0,0.789734792,1,0.687107119
200,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
201,1,0,0.09137056,0.005076142,69.14995575,0.558375657,0.697931703,1,0.848096725
202,1,0.99492383,0.380710661,0,52.56287384,0,0.815398955,1,0.638870519
203,1,0.969543159,0.32487309,0,49.92266846,0.030456852,0.789469965,1,0.687595069
204,1,0,0.406091362,0,51.93198013,0.208121821,0.931870241,1,0.375663948
205,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
206,1,0,0.015228426,0.126903549,655.9946289,0.893401027,0.155730589,0,1.928537143
207,1,0,0.065989845,0,99.94867706,0.18274112,0.86940795,1,0.529042183
208,1,0,0.060913704,0.005076142,64.13110352,0.492385775,0.727223081,1,0.798150358
209,1,0,0.34517765,0,84.9455719,0.796954334,0.656674574,1,0.917133256
210,0,0.883248746,0.02538071,0,285.5698547,0.116751269,0.552701341,1,-1.268486316
211,0,0,0,0,68.90454102,0.852791905,0.44241705,0,-1.080873719
212,0,0.715736032,0.010152284,0,149.5492859,0.142131984,0.644878873,1,-1.438955416
